,,,
,,,
,,,
,,FOI 76110,
,,,
,,"What is the number of Immigration Enforcement visits conducted in each London postcode area (E, EC, N, NW, SE, SW, W, WC) in 2022? Split data by postcode district.",
,,,
,,Our records indicate:,
,,"Table 1 - Number of Immigration Enforcement visits conducted in each London postcode area (E, EC, N, NW, SE, SW, W, WC) in 2022",
,,,
,,Postcode,Year 2022
,,E:,
,,E1,12
,,E2,<5
,,E3,<5
,,E4,8
,,E5,10
,,E6,18
,,E7,14
,,E8,6
,,E9,<5
,,E10,26
,,E11,11
,,E12,<5
,,E13,13
,,E14,8
,,E15,20
,,E16,10
,,E17,16
,,E18,<5
,,E1W,<5
,,N:,
,,N1,9
,,N2,<5
,,N3,7
,,N4,9
,,N6,<5
,,N7,11
,,N8,12
,,N9,13
,,N10,<5
,,N11,9
,,N12,10
,,N13,15
,,N14,8
,,N15,26
,,N16,<5
,,N17,24
,,N18,10
,,N19,<5
,,N20,<5
,,N21,<5
,,N22,31
,,NW:,
,,NW1,13
,,NW2,25
,,NW3,<5
,,NW4,11
,,NW5,<5
,,NW6,12
,,NW7,<5
,,NW8,6
,,NW9,21
,,NW10,32
,,NW11,9
,,W:,
,,W2,12
,,W3,10
,,W4,<5
,,W5,<5
,,W6,<5
,,W7,6
,,W8,<5
,,W9,<5
,,W10,<5
,,W11,<5
,,W12,11
,,W13,<5
,,W14,<5
,,W1U,<5
,,W1J,<5
,,W1H,<5
,,W1F,<5
,,SE:,
,,SE1,<5
,,SE2,<5
,,SE3,<5
,,SE4,<5
,,SE5,<5
,,SE6,14
,,SE8,10
,,SE9,10
,,SE10,<5
,,SE12,<5
,,SE13,9
,,SE14,13
,,SE15,15
,,SE16,18
,,SE17,7
,,SE18,35
,,SE19,10
,,SE20,<5
,,SE21,<5
,,SE22,<5
,,SE23,<5
,,SE24,<5
,,SE25,8
,,SE26,<5
,,SE28,10
,,SW:,
,,SW2,<5
,,SW3,<5
,,SW4,<5
,,SW5,<5
,,SW6,9
,,SW7,<5
,,SW8,6
,,SW9,<5
,,SW10,<5
,,SW11,12
,,SW13,<5
,,SW14,<5
,,SW15,6
,,SW16,23
,,SW17,33
,,SW18,6
,,SW19,12
,,SW20,<5
,,SW1H,<5
,,SW1V,<5
,,SW1P,<5
,,EC:,
,,EC2Y,<5
,,WC:,
,,WC1H,<5
,,WC1N,<5
,,WC1X,<5
,,WC2E,<5
,,WC2H,<5
,,,
,,,
,,Notes,
,1,"These figures have been taken from a live operational database. As such, numbers may change as information on that system is updated.",
,2,Data extracted on 04/05/2023 from OAR1 PRAU On Demand report. ,
,3,Data covers the following period: 01 January 2022 to 31 December 2022.,
,4,"If this data is to be shared externally, in order to protect individual identification, any count that is less than 5 should be replaced with ""<5"" and any Totals columns/rows should be removed",
